Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,WriteSize,VALUUtilization,L2CacheHit,MemUnitStalled
1787,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1795,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0549165234
1789,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1797,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0544027995
1791,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1799,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0566235634
1793,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1801,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0507236040
1795,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1803,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0572248899
1797,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1805,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0606732764
1799,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1807,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0556661998
1801,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1809,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0519331884
1803,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1811,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0575603716
1805,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1813,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0553918011
1807,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1815,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0425168835
1809,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1817,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0396433559
1811,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1819,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0438270557
1813,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1821,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0426429547
1815,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1823,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0454351330
1817,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1825,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0533673537
