idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,trace_count,ck_ua_ms,ck_pagedkv_ms,ck_splitkv_ms,triton_2d_ms,triton_3d_ms,best
175,decode,384,384,1,131072,64,8,64,32,"127,0",1,,,,0.03615799359977245,,t_2d
177,decode,368,368,1,1,64,8,64,32,"127,0",1,0.015536649152636528,0.030226027593016624,0.12439531274139881,0.020379014313220978,0.0655492302030325,ck_ua
178,decode,368,368,1,1,64,8,64,32,"-1,-1",1,0.015215156599879265,0.0302780419588089,0.1242415513843298,0.019713537767529488,0.06564892828464508,ck_ua
179,decode,368,368,1,131072,64,8,64,32,"127,0",1,,,,0.034901127219200134,,t_2d
181,decode,352,352,1,1,64,8,64,32,"127,0",1,0.016191182658076286,0.029380712658166885,0.11931853368878365,0.020016450434923172,0.0636683776974678,ck_ua
182,decode,352,352,1,1,64,8,64,32,"-1,-1",1,0.015289336442947388,0.029184436425566673,0.11926647275686264,0.019265804439783096,0.06348518654704094,ck_ua
183,decode,352,352,1,131072,64,8,64,32,"127,0",1,,,,0.03432123921811581,,t_2d
185,decode,336,336,1,1,64,8,64,32,"127,0",1,0.01607942394912243,0.028552953153848648,0.11495044454932213,0.019714469090104103,0.060625746846199036,ck_ua
186,decode,336,336,1,1,64,8,64,32,"-1,-1",1,0.014948751777410507,0.028399750590324402,0.11313771829009056,0.018436554819345474,0.06034029647707939,ck_ua
187,decode,336,336,1,131072,64,8,64,32,"127,0",1,,,,0.032757362350821495,,t_2d
189,decode,320,320,1,1,64,8,64,32,"127,0",1,0.01618657261133194,0.027587497606873512,0.10920464992523193,0.018759537488222122,0.05819709040224552,ck_ua
190,decode,320,320,1,1,64,8,64,32,"-1,-1",1,0.015826569870114326,0.02755238674581051,0.10962039232254028,0.018140068277716637,0.058378325775265694,ck_ua
191,decode,320,320,1,131072,64,8,64,32,"127,0",1,,,,0.03094356507062912,,t_2d
193,decode,304,304,1,1,64,8,64,32,"127,0",1,0.016734004020690918,0.026341108605265617,0.10274085216224194,0.01798090524971485,0.05484200082719326,ck_ua
