M,N,K
20002,2048,3072
20002,3072,3072
20002,3072,6144
20002,4096,3072
20002,8192,3072
20004,3072,3072
20004,4096,3072
20006,3072,6144
20006,8192,3072
20011,3072,6144
20011,8192,3072
20017,3072,6144
20017,8192,3072
20030,2048,3072
20034,3072,6144
20034,8192,3072
20062,2048,3072
20062,3072,3072
20062,4096,3072
20072,3072,6144
20072,8192,3072
20078,3072,6144
20078,8192,3072
20132,3072,3072
20132,4096,3072
20149,3072,6144
20149,8192,3072
20227,3072,6144
20227,8192,3072
20234,3072,6144
20234,8192,3072
20245,3072,6144
20245,8192,3072
20254,2048,3072
20255,3072,6144
20255,8192,3072
20264,3072,6144
20264,8192,3072
20272,3072,6144
20272,8192,3072
20360,3072,6144
20360,8192,3072
20368,3072,3072
20368,3072,6144
20368,4096,3072
20368,8192,3072
20375,3072,6144
20375,8192,3072
20394,3072,6144
20394,8192,3072
20428,2048,3072
20438,3072,6144
20438,8192,3072
20441,3072,6144
20441,8192,3072
20450,3072,6144
20450,8192,3072
20508,2048,3072
20571,3072,6144
20571,8192,3072
20602,3072,3072
20602,4096,3072
20666,3072,3072
20666,4096,3072
20763,3072,6144
20763,8192,3072
20830,3072,3072
20830,4096,3072
20929,3072,3072
20929,4096,3072
20934,2048,3072
21072,2048,3072
21430,3072,6144
21430,8192,3072
21545,3072,3072
21545,4096,3072
21610,3072,3072
21610,4096,3072
21611,2048,3072
21721,3072,3072
21721,4096,3072
21738,3072,3072
21738,4096,3072
21764,2048,3072
21800,3072,3072
21800,4096,3072
21844,3072,3072
21844,4096,3072
21925,3072,3072
21925,4096,3072
22009,3072,6144
22009,8192,3072
22011,3072,3072
22011,4096,3072
22279,3072,6144
22279,8192,3072
22355,2048,3072
22355,3072,3072
22355,4096,3072
22410,3072,3072
22410,4096,3072
23010,3072,3072
23010,4096,3072
23463,3072,3072
23463,4096,3072
23797,2048,3072
23970,2048,3072
23970,3072,6144
23970,8192,3072
23999,3072,6144
23999,8192,3072
24008,3072,3072
24008,4096,3072
24145,2048,3072
24241,3072,6144
24241,8192,3072
24605,3072,3072
24605,4096,3072
24658,2048,3072
24923,2048,3072
25000,3072,3072
25000,4096,3072
25002,2048,3072
25002,3072,6144
25002,8192,3072
25003,2048,3072
