M,N,K,q_dtype_w
7217,1024,2048,torch.float8_e4m3fn
7217,12288,2048,torch.float8_e4m3fn
7217,2048,4096,torch.float8_e4m3fn
7217,2048,512,torch.float8_e4m3fn
7217,9216,2048,torch.float8_e4m3fn
7273,1024,2048,torch.float8_e4m3fn
7273,12288,2048,torch.float8_e4m3fn
7273,2048,4096,torch.float8_e4m3fn
7273,2048,512,torch.float8_e4m3fn
7273,9216,2048,torch.float8_e4m3fn
7274,1024,2048,torch.float8_e4m3fn
7274,12288,2048,torch.float8_e4m3fn
7274,2048,4096,torch.float8_e4m3fn
7274,2048,512,torch.float8_e4m3fn
7274,9216,2048,torch.float8_e4m3fn
7391,1024,2048,torch.float8_e4m3fn
7391,12288,2048,torch.float8_e4m3fn
7391,2048,4096,torch.float8_e4m3fn
7391,2048,512,torch.float8_e4m3fn
7391,9216,2048,torch.float8_e4m3fn
7393,1024,2048,torch.float8_e4m3fn
7393,12288,2048,torch.float8_e4m3fn
7393,2048,4096,torch.float8_e4m3fn
7393,2048,512,torch.float8_e4m3fn
7393,9216,2048,torch.float8_e4m3fn
7715,1024,2048,torch.float8_e4m3fn
7715,12288,2048,torch.float8_e4m3fn
7715,2048,4096,torch.float8_e4m3fn
7715,2048,512,torch.float8_e4m3fn
7715,9216,2048,torch.float8_e4m3fn
7753,1024,2048,torch.float8_e4m3fn
7753,12288,2048,torch.float8_e4m3fn
7753,2048,4096,torch.float8_e4m3fn
7753,2048,512,torch.float8_e4m3fn
7753,9216,2048,torch.float8_e4m3fn
7819,1024,2048,torch.float8_e4m3fn
7819,12288,2048,torch.float8_e4m3fn
7819,2048,4096,torch.float8_e4m3fn
7819,2048,512,torch.float8_e4m3fn
7819,9216,2048,torch.float8_e4m3fn
8,1024,2048,torch.float8_e4m3fn
8,12288,2048,torch.float8_e4m3fn
8,2048,4096,torch.float8_e4m3fn
8,2048,512,torch.float8_e4m3fn
8,9216,2048,torch.float8_e4m3fn
80,1024,2048,torch.float8_e4m3fn
80,12288,2048,torch.float8_e4m3fn
80,2048,4096,torch.float8_e4m3fn
80,2048,512,torch.float8_e4m3fn
80,9216,2048,torch.float8_e4m3fn
8099,1024,2048,torch.float8_e4m3fn
8099,12288,2048,torch.float8_e4m3fn
8099,2048,4096,torch.float8_e4m3fn
8099,2048,512,torch.float8_e4m3fn
8099,9216,2048,torch.float8_e4m3fn
8129,1024,2048,torch.float8_e4m3fn
8129,12288,2048,torch.float8_e4m3fn
8129,2048,4096,torch.float8_e4m3fn
8129,2048,512,torch.float8_e4m3fn
8129,9216,2048,torch.float8_e4m3fn
8188,1024,2048,torch.float8_e4m3fn
8188,12288,2048,torch.float8_e4m3fn
8188,2048,4096,torch.float8_e4m3fn
8188,2048,512,torch.float8_e4m3fn
8188,9216,2048,torch.float8_e4m3fn
8192,1024,2048,torch.float8_e4m3fn
8192,12288,2048,torch.float8_e4m3fn
8192,2048,4096,torch.float8_e4m3fn
8192,2048,512,torch.float8_e4m3fn
