cu_num,M,N,K,libtype,kernelId,preshuffleB,splitK,us,kernelName,tflops,bw,errRatio
256,4096,24576,1536,ck,13,True,0,253.1107,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1221.75,969.41,0.0
256,4096,32768,512,ck,16,True,0,175.9703,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,781.03,1632.72,0.0
256,4096,32768,1536,ck,13,True,0,337.1783,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1222.85,964.06,0.0
256,4096,36864,7168,ck,13,True,0,1446.4257,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1496.56,411.77,0.0
256,6144,128,7168,ck,17,True,0,23.4775,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,480.22,1981.92,0.0
256,6144,512,7168,ck,13,True,0,51.3519,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,878.2,1051.6,0.0
256,6144,1024,7168,ck,14,True,0,84.0823,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1072.69,760.72,0.0002
256,6144,2112,7168,ck,0,False,0,193.4194,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,961.77,440.14,0.0
256,6144,2240,7168,ck,0,False,0,198.0481,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,996.22,442.43,0.0
256,6144,3072,1536,ck,13,True,0,58.9038,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,984.35,881.17,0.0
256,6144,4096,512,ck,1,True,0,36.685,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,702.46,1514.91,0.0015
256,6144,4096,7168,ck,13,True,0,255.223,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1413.58,484.8,0.0
256,6144,4608,7168,ck,13,True,0,285.1532,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1423.36,468.85,0.0
256,6144,7168,256,ck,16,True,0,42.9877,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,524.54,2128.24,0.0
256,6144,7168,512,ck,16,True,0,62.1546,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,725.56,1526.78,0.0
256,6144,7168,2048,ck,13,True,0,148.4535,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1215.12,776.97,0.0
256,6144,7168,2304,ck,13,True,0,163.587,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1240.55,725.92,0.0
256,6144,7168,4096,ck,13,True,0,261.9149,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1377.46,544.48,0.0
256,6144,7168,4608,ck,13,True,0,292.27,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1388.7,511.25,0.0
256,6144,7168,16384,ck,13,True,0,938.385,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1537.86,326.29,0.0
256,6144,7168,18432,ck,13,True,0,1058.1385,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1534.3,315.13,0.0
256,6144,8192,512,ck,16,True,0,72.3806,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,712.06,1492.16,0.0
256,6144,8192,1536,ck,13,True,0,137.8944,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1121.28,889.69,0.0
256,6144,9216,7168,ck,13,True,0,541.6459,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1498.67,412.35,0.0
256,6144,11264,1536,ck,13,True,0,182.1678,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1167.06,906.59,0.0
256,6144,12288,1536,ck,13,True,0,193.2705,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1200.02,927.75,0.0
256,6144,14336,1536,ck,13,True,0,221.729,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1220.33,936.36,0.0
256,6144,16384,512,ck,13,True,0,128.4266,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,802.63,1657.45,0.0
256,6144,20480,1536,ck,13,True,0,310.5847,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1244.58,941.94,0.0
256,6144,24576,1536,ck,13,True,0,368.6759,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1258.17,947.11,0.0
256,6144,32768,512,ck,13,True,0,248.0637,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,831.07,1703.5,0.0
256,6144,32768,1536,ck,13,True,0,489.9077,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1262.43,943.9,0.0
256,6144,36864,7168,ck,13,True,0,2172.0366,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1494.91,350.48,0.0
256,8192,64,7168,ck,12,True,0,21.2305,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,354.03,2836.84,0.0
256,8192,128,7168,ck,17,True,0,24.9657,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,602.12,2472.79,0.0
256,8192,576,7168,ck,15,True,0,86.7779,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,779.53,833.0,0.0119
256,8192,1024,7168,ck,13,True,0,97.2781,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1236.24,851.55,0.0
256,8192,1536,7168,ck,13,True,0,138.2682,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1304.63,686.32,0.0
256,8192,2112,7168,ck,0,False,0,244.7372,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1013.47,443.18,0.0
256,8192,2240,7168,ck,0,False,0,251.8737,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1044.44,442.59,0.0
256,8192,3072,1536,ck,13,True,0,72.8366,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1061.41,928.56,0.0
256,8192,4096,512,ck,16,True,0,48.5425,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,707.83,1512.08,0.0
256,8192,4096,7168,ck,13,True,0,329.7822,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1458.65,470.58,0.0
256,8192,4608,7168,ck,13,True,0,369.85,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1463.2,452.2,0.0
256,8192,7168,256,ck,16,True,0,54.5117,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,551.53,2226.54,0.0
256,8192,7168,512,ck,13,True,0,80.1235,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,750.46,1563.9,0.0
256,8192,7168,2048,ck,13,True,0,191.3993,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1256.63,777.94,0.0
256,8192,7168,2304,ck,13,True,0,207.149,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1306.22,737.78,0.0
256,8192,7168,4096,ck,13,True,0,333.917,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1440.59,540.12,0.0
